Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Tidsstempel,Category,Domain,Accessibility,Occluded Visibility,Note
Trae,Tree,N/A,-37,55.39,10.38,14/09/2020 11.45,False Negative,Public,0,75,
Trae,Tree,N/A,-36,55.39,10.38,14/09/2020 11.43,False Negative,Public,0,75,
Trae,Tree,N/A,-35,55.39,10.38,14/09/2020 11.43,False Negative,Public,0,75,
Trae,Tree,N/A,-34,55.39,10.38,14/09/2020 11.42,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-33,55.39,10.38,14/09/2020 11.39,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-32,55.39,10.38,14/09/2020 11.38,False Negative,Public,100,0,
Trae,Tree,N/A,-31,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Expanded -29 after the fact.
Trae,Tree,N/A,-30,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Expanded -29 after the fact.
Trae,Tree,N/A,-29,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Til 31
Trae,Tree,N/A,-28,55.39,10.38,14/09/2020 11.30,False Negative,Public,70,0,
Trae,Tree,N/A,-27,55.39,10.38,14/09/2020 11.29,False Negative,Public,100,0,
Trae,Tree,N/A,-26,55.39,10.38,14/09/2020 11.24,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-25,55.39,10.38,14/09/2020 11.17,False Negative,Public,70,0,
Trae,Tree,N/A,-24,55.39,10.38,14/09/2020 11.13,False Negative,Public,100,0,
Trae,Tree,N/A,-23,55.39,10.38,14/09/2020 11.06,False Negative,Public,0,60,
Trae,Tree,N/A,-22,55.39,10.38,14/09/2020 11.02,False Negative,Public,40,85,
Trae,Tree,N/A,-21,55.39,10.38,14/09/2020 10.59,False Negative,Public,0,70,
Trae,Tree,N/A,-20,55.39,10.38,14/09/2020 11.03,False Negative,Public,0,75,
Trae,Tree,N/A,-19,55.39,10.38,14/09/2020 10.56,False Negative,Public,100,0,
Trae,Tree,N/A,-18,55.39,10.38,14/09/2020 10.54,False Negative,Public,100,0,
Trae,Tree,N/A,-17,55.39,10.38,14/09/2020 10.53,False Negative,Public,100,0,
Trae,Tree,N/A,-16,55.39,10.38,14/09/2020 10.52,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-15,55.39,10.38,14/09/2020 10.42,False Negative,Public,60,0,
Mast,Mast (light fixture),N/A,-14,55.39,10.38,14/09/2020 10.41,False Negative,Public,80,75,
Trae,Tree,N/A,-13,55.39,10.38,14/09/2020 10.35,False Negative,Public,0,95,
Trae,Tree,N/A,-12,55.39,10.38,14/09/2020 10.33,False Negative,Public,100,0,
Trae,Tree,N/A,-11,55.39,10.38,14/09/2020 10.32,False Negative,Public,100,0,
Trae,Tree,N/A,-10,55.39,10.38,14/09/2020 10.30,False Negative,Public,45,25,
Trae,Tree,N/A,-9,55.39,10.38,14/09/2020 10.30,False Negative,Public,100,0,
Trae,Tree,N/A,-8,55.39,10.38,14/09/2020 10.31,False Negative,Public,100,0,
Trae,Tree,N/A,-7,55.39,10.38,14/09/2020 10.29,False Negative,Public,100,0,
Trae,Tree,N/A,-6,55.39,10.38,14/09/2020 10.28,False Negative,Public,100,0,
Trae,Tree,N/A,-5,55.39,10.38,14/09/2020 10.27,False Negative,Public,50,20,
Trae,Tree,N/A,-4,55.39,10.38,14/09/2020 10.26,False Negative,Public,100,0,
Trae,Tree,N/A,-3,55.39,10.38,14/09/2020 10.26,False Negative,Public,100,0,
Trae,Tree,N/A,-2,55.39,10.38,14/09/2020 10.25,False Negative,Public,100,0,
Mast,Mast (light fixture),1034130937,0,55.39149969753408,10.384005619009454,14/09/2020 11.13,True Positive,Public,70,70,
Mast,Mast (light fixture),1034130938,1,55.3915532012157,10.3835739380272,14/09/2020 11.17,True Positive,Public,100,0,
Mast,Mast (light fixture),1034130939,2,55.39159949123769,10.383136320215302,14/09/2020 11.22,True Positive,Public,100,0,
Mast,Mast (light fixture),1034130940,3,55.3916474317869,10.382711547669544,14/09/2020 11.36,True Positive,Public,100,0,
Mast,Mast (light fixture),1034130941,4,55.391717638650235,10.382312338962967,14/09/2020 11.37,True Positive,Public,170,20,
Mast,Mast (light fixture),1034130942,5,55.39187806709444,10.38196916768327,14/09/2020 11.38,False Positive,Public,,,
Mast,Mast (light fixture),1034130943,6,55.392214922359244,10.381791454511974,14/09/2020 10.42,True Positive,Public,60,90,
Trae,Tree,1034116313,7,55.39124567948994,10.381936371769752,14/09/2020 10.24,False Positive,Public,,,
Trae,Tree,1034116314,8,55.390867947567244,10.382279849943851,14/09/2020 10.16,True Positive,Public,100,0,
Trae,Tree,1034116315,9,55.39089009678114,10.382260256023349,14/09/2020 10.16,True Positive,Public,100,0,
Trae,Tree,1034116317,10,55.390928211105944,10.382632923656193,14/09/2020 11.46,True Positive,Public,0,95,
Trae,Tree,1034116318,11,55.391107865996176,10.382989692624712,14/09/2020 11.53,True Positive,Public,15,85.00,
Trae,Tree,1034116319,12,55.39120554227481,10.382919055356105,14/09/2020 11.54,True Positive,Public,0,75,
Trae,Tree,1034116322,13,55.39112352876228,10.382510592331709,14/09/2020 11.48,False Positive,Public,,,
Trae,Tree,1034116323,14,55.39246657705966,10.382544515646286,14/09/2020 10.49,True Positive,Public,100,0,
Trae,Tree,1034116324,15,55.39244717659007,10.382424317531944,14/09/2020 10.49,True Positive,Public,100,0,
Trae,Tree,1034116326,16,55.39216518294443,10.382606151457747,14/09/2020 11.25,False Positive,Public,,,
Trae,Tree,1034116327,17,55.39211843817646,10.382821929713975,14/09/2020 11.25,True Positive,Public,100,0,
Trae,Tree,1034116455,18,55.392402172669115,10.38357469507712,14/09/2020 11.03,True Positive,Public,100,0,
Trae,Tree,1034116456,19,55.39228242637287,10.38357051290728,14/09/2020 11.04,True Positive,Public,100,0,
Trae,Tree,1034116457,20,55.39228722468321,10.383694464029212,14/09/2020 11.04,True Positive,Public,100,0,
Trae,Tree,1034116458,21,55.39221654490913,10.383205861601327,14/09/2020 10.58,True Positive,Public,0,50,
Trae,Tree,1034116493,22,55.39249760155603,10.383297618884754,14/09/2020 10.56,True Positive,Public,100,0,
Trae,Tree,1034116325,23,55.392225386287755,10.381947022298815,14/09/2020 10.43,True Positive,Public,100,0,
Trae,Tree,1034116454,24,55.39195471445888,10.381763274324296,14/09/2020 10.39,True Positive,Public,100,0,
Hegn,Fence,1034187478,25,"(55.39065389570145, 55.39064996032643, 55.39067159263768, 55.39071415227186, 55.39073472740121, 55.39075200430765, 55.39076305243838, 55.390769553613424, 55.39077237995218, 55.3907689995558, 55.39075995436301, 55.390746361635536, 55.39073045233052, 55.39071735581646, 55.39070562406959, 55.390683008341824, 55.390662147628994, 55.39063620397075, 55.39060355324582, 55.39059999793154)","(10.382811228177232, 10.38284929792856, 10.382859525842699, 10.38289464001899, 10.382918882478577, 10.382948693548817, 10.382980971188369, 10.383017984430374, 10.383070025982969, 10.383106694268905, 10.383143638420659, 10.38317742404717, 10.383201498031545, 10.38321525006409, 10.383219576886429, 10.383224786746016, 10.383225795096772, 10.383223310487068, 10.383217907742099, 10.383246202089909)",14/09/2020 11.56,True Positive,Public,65,70,
Vandloebskant,Edge of stream,1034247434,26,"(55.38866874160539, 55.388806069847035, 55.38887042789411, 55.388891461950934, 55.38893835059214, 55.38902417176852, 55.38905214135436, 55.38932127496246, 55.389360035820374, 55.38943062538025, 55.38953988587022, 55.38975844473357, 55.389941446082034, 55.38999057481198, 55.39010488548175, 55.390159595937405, 55.390228794422654, 55.39028865713575, 55.390348253356564, 55.39052977601867, 55.39057540996001, 55.390620472132106, 55.39067475120315, 55.390728690439836, 55.390782013214235, 55.39082751943279, 55.3908733241961, 55.39094169697216, 55.39098894730833, 55.39105576825819, 55.39105517493716, 55.391161416206074, 55.391306418925275, 55.3914753217605, 55.39152638597081, 55.391665486146046, 55.39185044615124, 55.39189101508864, 55.3919229091106, 55.39192433435409, 55.39193161255095, 55.391931783419636, 55.39194734044824, 55.3919782541373, 55.39203260294622, 55.39205315808282, 55.39207101646558, 55.39210341724421, 55.39212049523548, 55.392137447298715, 55.39215279729971, 55.392161963113715)","(10.37931626363506, 10.379387035455798, 10.3794097996309, 10.37941732050681, 10.37945115921514, 10.379531031906497, 10.379561054625427, 10.37984954929582, 10.379886894827496, 10.379954713884539, 10.380059875928161, 10.38027478152905, 10.380510869192472, 10.380640777965395, 10.38096714919482, 10.38123934442731, 10.38151772926896, 10.381691747121348, 10.381754135476857, 10.382025389275219, 10.3820827129123, 10.382134964559947, 10.38216685551511, 10.382173157993373, 10.382154493763656, 10.382143608735873, 10.38211426196412, 10.382068019671761, 10.382030039651426, 10.381946166981043, 10.381919148425299, 10.381774444645535, 10.38161925065558, 10.381480361580138, 10.381502509304783, 10.381448153275347, 10.381359556005865, 10.38134818186646, 10.381348978192712, 10.381334186636082, 10.38133428252794, 10.381295290718588, 10.381294412177207, 10.381302437031103, 10.381328172839766, 10.381346257040247, 10.381364405112505, 10.381407848451541, 10.381439389710751, 10.381490030875122, 10.381547247450039, 10.381602985301418)",14/09/2020 10.36,True Positive,Public,40,75,
Vandloebskant,Edge of stream,1034247649,27,"(55.392223890657874, 55.39221869042908, 55.392164993785094, 55.392161963113715)","(10.381785136078642, 10.381776113031181, 10.381621090073212, 10.381602985301418)",N/A,Unknown,N/A,N/A,N/A,
Vandloebskant,Edge of stream,1034247425,28,"(55.392271478821904, 55.39227875286225, 55.392283806702096, 55.3923023050468, 55.392317577747214, 55.39233647702568, 55.39233922255552, 55.392334103861856, 55.392334152021924, 55.39233111257908)","(10.382957370738136, 10.382949888203385, 10.382924171139411, 10.38287776650578, 10.382822565433422, 10.382756596677654, 10.382736325040575, 10.382664465527556, 10.382636363263236, 10.382619047463942)",14/09/2020 10.47,True Positive,Public,0,0,
Vandloebskant,Edge of stream,1034247427,29,"(55.39234836868226, 55.39235070552954, 55.392362734771396, 55.39236466767499, 55.39236041106418, 55.392348741190894, 55.39233075031607, 55.39232520386894, 55.39232313765569, 55.39231958658511, 55.39231916893014)","(10.382610965915912, 10.38262683621397, 10.382683621869782, 10.382727266271349, 10.382769905195046, 10.382832337041147, 10.382889495802406, 10.382934931617745, 10.382982541451458, 10.38299457480319, 10.383007664866934)",14/09/2020 10.47,True Positive,Public,0,0,Tjek obstructed visibility
Vandloebskant,Edge of stream,1034247650,30,"(55.39231916893014, 55.3922958126008, 55.392271478821904)","(10.383007664866934, 10.382983008510314, 10.382957370738136)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247651,31,"(55.392324190683304, 55.39233111257908)","(10.382579491946148, 10.382619047463942)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247652,32,"(55.3923430405656, 55.39234836868226)","(10.382573518540902, 10.382610965915912)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247426,33,"(55.392324190683304, 55.3923218324161, 55.39231138027987, 55.392283059769134, 55.39225938962565, 55.392233554085486, 55.39221838652867, 55.39220116697392, 55.39219900949847, 55.39220989957361, 55.39222015992927, 55.39223365909542, 55.39224686800232, 55.39225516774589, 55.392254261285764, 55.392241268623195, 55.3922456349674, 55.392255199594096, 55.392258992382764, 55.39228124964633, 55.39229803128559, 55.39231009453019, 55.392327622017824, 55.392342202915934, 55.3923430405656)","(10.382579491946148, 10.382565515561478, 10.382528205170141, 10.382457746482912, 10.382373398227557, 10.38232955145716, 10.382280077277349, 10.38220542753927, 10.382141881777114, 10.382060950005808, 10.382035730286017, 10.38202609645925, 10.382026241492207, 10.382039319885067, 10.38207181298396, 10.382124093947105, 10.382175085886225, 10.382211417832233, 10.38225749528933, 10.382331689396622, 10.382413271097187, 10.382467057939724, 10.382506509878446, 10.38256812113657, 10.382573518540902)",14/09/2020 10.44,True Positive,Public,0,2,
Vandloebskant,Edge of stream,1034247429,34,"(55.392223890657874, 55.39224557740403, 55.392279658075026, 55.39231026429036, 55.392324109808975, 55.3923624028329, 55.39238480203312, 55.392403403307505, 55.39242113074294, 55.392428040201175, 55.39243359389997, 55.392452012868844, 55.39248402735851, 55.392491236771434, 55.39249369032908, 55.392496579313764, 55.39250517056363, 55.39251635383018, 55.39254436476954, 55.392557026869824, 55.392583534724544, 55.39262636773279, 55.39265886114644, 55.392644359985916, 55.392628058591086, 55.39261495942261, 55.39261360920697, 55.392617022624556, 55.39263201117042, 55.392640198811705)","(10.381785136078642, 10.381822364399701, 10.381868235214782, 10.381895512104284, 10.381902942115897, 10.381918014101853, 10.381924005752929, 10.381932075350992, 10.381953850700341, 10.381970669940772, 10.381996125715245, 10.382171392166548, 10.382400025648591, 10.382485694610192, 10.382546882877103, 10.382593402766991, 10.382660173461785, 10.382767927666196, 10.382881637550213, 10.382946024291936, 10.38312110050872, 10.383211487220553, 10.383278461341536, 10.383424317705789, 10.383546585701971, 10.383679701863736, 10.383799018388089, 10.384124703692208, 10.384396322039718, 10.384578022165476)",14/09/2020 10.50,True Positive,Public,60,25,
KratBevoksning,Bushes,1034188465,35,"(55.39171279806217, 55.391733435653876, 55.39183409949541, 55.39192381399315, 55.391894287077776, 55.391758681390314, 55.39171279806217)","(10.382915290208345, 10.382934009506092, 10.382932944848962, 10.382708089698337, 10.382625116509166, 10.382569071152975, 10.382915290208345)",14/09/2020 11.32,True Positive,Public,100,0,
KratBevoksning,Bushes,1034188466,36,"(55.39167961007918, 55.3914627132224, 55.39142015887561, 55.39134508829307, 55.39116744731013, 55.391138934889554, 55.39104195980011, 55.39097200915302, 55.3909703214099, 55.390976369332606, 55.39110710444909, 55.391237270222405, 55.39129472184127, 55.3913954672857, 55.39153146730301, 55.39158519049479, 55.39162134357347, 55.39167961007918)","(10.382369271508637, 10.38230975937377, 10.382298012121062, 10.382300760809756, 10.382346032376418, 10.382372035418712, 10.382468117413024, 10.382510830667297, 10.382524981141113, 10.382530560180742, 10.382564330734304, 10.382600765658927, 10.382630242356836, 10.382733225055631, 10.38287359433348, 10.382922834933444, 10.382745687481236, 10.382369271508637)",14/09/2020 11.47,True Positive,Public,100,0,
Soe,Lake,1034272758,37,"(55.39239361662085, 55.39233660905422, 55.392306392589674, 55.39228818732325, 55.39227860772426, 55.39227755735512, 55.39230009629441, 55.3923059149456, 55.3923184924328, 55.39232023928858, 55.3923202900474, 55.39231481586294, 55.392284064580565, 55.3922710100138, 55.392259833177576, 55.39224681449111, 55.39224107272371, 55.39223939427253, 55.39224618075351, 55.39225315869282, 55.39226271195108, 55.3922856734156, 55.392323131101094, 55.39236028536245, 55.39238913110588, 55.392400447072156, 55.39241321285051, 55.39242170485409, 55.39242813963443, 55.3924252574125, 55.39242067607428, 55.39241456579868, 55.39240412985456, 55.39239053728442, 55.39237927085703, 55.39236944239014, 55.39236078830015, 55.392353591145174, 55.39234489890228, 55.39233798959474, 55.39231916893014, 55.3922958126008, 55.392271478821904, 55.39226179778016, 55.392236915489896, 55.39220836613392, 55.39217874233503, 55.392127578419874, 55.39207460475419, 55.39203819233779, 55.392012961330494, 55.39200075120629, 55.392000351293156, 55.39200698618416, 55.39200449629029, 55.39198527023984, 55.39195424335238, 55.391931242521274, 55.39192011325153, 55.391915326895244, 55.39192262431757, 55.39193638441571, 55.39197666894616, 55.39199197520414, 55.391989205342576, 55.39198305724678, 55.3919679473622, 55.39194530712539, 55.39192104529376, 55.39190190463881, 55.391878343295865, 55.39184343167366, 55.39181243031531, 55.39177105002472, 55.39176746904458, 55.39176418613411, 55.391791527062736, 55.391821470073054, 55.391847058262606, 55.39187153630404, 55.391871837206395, 55.39188902044644, 55.39190916635413, 55.391948845398765, 55.39198311075166, 55.39202172119081, 55.392034488803006, 55.3920455858235, 55.39205259293441, 55.392060260224625, 55.3920726362935, 55.39208512800606, 55.392100575727646, 55.392111947858176, 55.392136465038575, 55.39214930127975, 55.39216709031399, 55.39217388539099, 55.3921893142509, 55.39223615968734, 55.39224353259056, 55.39225132558006, 55.392283065434675, 55.392294849851226, 55.392313116472266, 55.39232894966873, 55.39235283202168, 55.39236932540076, 55.392389570778384, 55.392392094031344, 55.39239361662085)","(10.38436241326959, 10.384301687022411, 10.384263843417902, 10.38423668223033, 10.384209664572454, 10.384135736688314, 10.384026161011413, 10.383988471355137, 10.383949123158793, 10.383929764045895, 10.383909398356467, 10.383884892480923, 10.383830768157939, 10.383801103024883, 10.383748451989883, 10.383691789477252, 10.383643275510433, 10.383585114479539, 10.383541301026407, 10.383512335625726, 10.383494038586116, 10.383474157255895, 10.383467728902628, 10.38346428980315, 10.383448561088253, 10.383433325392696, 10.38341703510439, 10.383381333261827, 10.383344770128073, 10.383313565602771, 10.383289564586224, 10.383265668076179, 10.383250778016611, 10.383236882958638, 10.383215964192345, 10.383179149009461, 10.38313384892545, 10.383086862965982, 10.383060823849927, 10.383044004457398, 10.383007664866934, 10.382983008510314, 10.382957370738136, 10.382947243779514, 10.382914481991193, 10.38288017125435, 10.382869348183238, 10.382879877341047, 10.38290739501943, 10.382932648807145, 10.38297045011084, 10.383017073891738, 10.38307626718475, 10.383149126402067, 10.383202404948097, 10.383249573106559, 10.383315117574861, 10.383362311692618, 10.383400762947337, 10.383450487681399, 10.383520370118177, 10.38356711119769, 10.38367619632464, 10.383792777138357, 10.383854887464338, 10.383881986970989, 10.38390687877399, 10.383922192231372, 10.383921976222657, 10.383905992665465, 10.38387564499848, 10.38383179639722, 10.383799767970292, 10.383771639961893, 10.383794250334413, 10.38381434495329, 10.383836298720478, 10.383866553450243, 10.383900445350301, 10.383937140452284, 10.383950255462143, 10.383980380349994, 10.384010766652917, 10.384070096971376, 10.384123396480936, 10.384189794563463, 10.384228922782242, 10.38427272923863, 10.384304709221027, 10.384349816845644, 10.384391773426502, 10.384415577141354, 10.384448167928914, 10.38446766961669, 10.384500893183404, 10.384518077773823, 10.384526435929779, 10.384529515373021, 10.384547895807957, 10.38454574375582, 10.384537475537691, 10.384523853838642, 10.384443019678482, 10.384418169555607, 10.384392282846502, 10.384382889249082, 10.384376934674956, 10.384380668796219, 10.384394323068223, 10.384377833047512, 10.38436241326959)",14/09/2020 11.34,True Positive,Public,25,65,Se 37 1 for billede af fejlmapping
Soe,Lake,1034247428,38,"(55.39072254408904, 55.390740170059125, 55.39078507961331, 55.39079883476028, 55.39082284355836, 55.390868240260836, 55.39088488421937, 55.39090717618615, 55.39101338678577, 55.3910675114889, 55.39111769125242, 55.391150192646705, 55.391196813768346, 55.39124088047763, 55.39124691352185, 55.391282474915556, 55.391327221849835, 55.39136118323391, 55.391394297383314, 55.39145245507025, 55.3914808229406, 55.3915104752479, 55.39151250761937, 55.391514231203566, 55.39145938069143, 55.39141238307868, 55.3913797105455, 55.39133674671611, 55.39131155645528, 55.39129845848475, 55.39129834340469, 55.39130754753385, 55.39132517022924, 55.39134514162072, 55.39137022565958, 55.39140374321419, 55.3914190176888, 55.391432783506716, 55.391440638244916, 55.391443549211914, 55.39144486225417, 55.39143511048588, 55.39142528788632, 55.39140733874129, 55.39137900711923, 55.391361094809405, 55.391346002996485, 55.39133490187111, 55.39131361339311, 55.391275861752604, 55.391259445618786, 55.39123250246766, 55.391197627931675, 55.39117603312457, 55.39115202471662, 55.39111787771536, 55.391099224745304, 55.391081025132706, 55.39107350841093, 55.391074419886216, 55.391075221268, 55.391074895879385, 55.39106041092167, 55.39104552436981, 55.39101813089485, 55.39098512616737, 55.39094777379213, 55.39092209961974, 55.39089999732091, 55.390868349019804, 55.39083543117009, 55.390787024691505, 55.39077766786146, 55.39077425244772, 55.39077157828626, 55.39078871302227, 55.39079890032733, 55.39080673472252, 55.39081448583143, 55.390816131953564, 55.39081920878778, 55.390815135254236, 55.390812397954626, 55.39076236449907, 55.39072785934309, 55.39072514876979, 55.39072254408904)","(10.383360365896044, 10.383399030676157, 10.383512378738363, 10.383591326064987, 10.383621846232128, 10.383636535857542, 10.38363490680501, 10.383650368345874, 10.383683285986669, 10.383697017539227, 10.383717873940526, 10.383720587954699, 10.383722374195965, 10.38370370431578, 10.383702651968514, 10.383657318492814, 10.383602359090307, 10.383595177357714, 10.383599333643955, 10.38360610130203, 10.383616722970169, 10.383625021252456, 10.383604251535436, 10.383586944482035, 10.38357381910218, 10.383557652455291, 10.383522408565389, 10.383459491519744, 10.383414246648966, 10.383356635543004, 10.383279426630217, 10.38322843594836, 10.38319589575077, 10.383170226512298, 10.383161313514684, 10.3831536422507, 10.383145965583296, 10.38312071114184, 10.383093671477408, 10.383074669166108, 10.383045980155243, 10.38300237956385, 10.382972986056188, 10.382939046022186, 10.382909322219078, 10.382911854619232, 10.382911327805253, 10.38291551891291, 10.382938458279863, 10.383002661946621, 10.383023876730336, 10.38303825079239, 10.383038770023804, 10.383025227642861, 10.383026441986392, 10.383050037470554, 10.383046544403664, 10.383026805285326, 10.383008070646959, 10.382967210945276, 10.382944030218873, 10.382917178865933, 10.382862993270297, 10.382820476980271, 10.382771366786185, 10.382741638179418, 10.382714915518669, 10.382712440628199, 10.382711984984683, 10.382729194661303, 10.38275535923815, 10.38278429867317, 10.382785235137932, 10.382832953907583, 10.382870752033392, 10.38289724264305, 10.382926174743641, 10.382964497599815, 10.38299429197466, 10.382999717402424, 10.383037558442357, 10.383103726377168, 10.383139154101714, 10.383280131817914, 10.383295662424162, 10.38332872277768, 10.383360365896044)",14/09/2020 11.52,True Positive,Public,10,60,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
